timestamp,user_id,session_id,usage_index,task_label,event_type,key,button,x,y
2025-11-21T02:35:25.701651,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:25.735069,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:25.748678,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:25.783398,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:25.812727,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:25.841714,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:25.904379,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.330102,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.350481,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.362487,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.374463,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.382474,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.398484,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.406567,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.423030,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.890584,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.938003,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.945990,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.950634,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.958630,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.966390,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:26.990840,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.498851,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.546642,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.550216,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.562855,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.566879,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.578845,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:27.594845,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:28.010483,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:28.030491,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
